Measurement	Count	Measurement_type	source_file
TES_down_1kb	435784	Tag count	TARGET-10-PAPEWB-09A-01R
TES_down_5kb	1297377	Tag count	TARGET-10-PAPEWB-09A-01R
TES_down_10kb	1854881	Tag count	TARGET-10-PAPEWB-09A-01R
CDS_Exons	41909871	Tag count	TARGET-10-PAPHPX-03B-01R
5'UTR_Exons	3522416	Tag count	TARGET-10-PAPHPX-03B-01R
3'UTR_Exons	15503783	Tag count	TARGET-10-PAPHPX-03B-01R
Introns	125604853	Tag count	TARGET-10-PAPHPX-03B-01R
TSS_up_1kb	326468	Tag count	TARGET-10-PAPHPX-03B-01R
TSS_up_5kb	1043185	Tag count	TARGET-10-PAPHPX-03B-01R
TSS_up_10kb	1744908	Tag count	TARGET-10-PAPHPX-03B-01R
TES_down_1kb	805338	Tag count	TARGET-10-PAPHPX-03B-01R
TES_down_5kb	2535143	Tag count	TARGET-10-PAPHPX-03B-01R
TES_down_10kb	3649517	Tag count	TARGET-10-PAPHPX-03B-01R
CDS_Exons	36584301	Tag count	TARGET-10-PAPHYN-09B-01R
5'UTR_Exons	2995652	Tag count	TARGET-10-PAPHYN-09B-01R
3'UTR_Exons	14987380	Tag count	TARGET-10-PAPHYN-09B-01R
Introns	127567967	Tag count	TARGET-10-PAPHYN-09B-01R
TSS_up_1kb	382446	Tag count	TARGET-10-PAPHYN-09B-01R
TSS_up_5kb	1411953	Tag count	TARGET-10-PAPHYN-09B-01R
TSS_up_10kb	2425202	Tag count	TARGET-10-PAPHYN-09B-01R
TES_down_1kb	925037	Tag count	TARGET-10-PAPHYN-09B-01R
TES_down_5kb	3333452	Tag count	TARGET-10-PAPHYN-09B-01R
TES_down_10kb	5133742	Tag count	TARGET-10-PAPHYN-09B-01R
CDS_Exons	46159747	Tag count	TARGET-10-PAPIYG-03B-01R
5'UTR_Exons	3501842	Tag count	TARGET-10-PAPIYG-03B-01R
3'UTR_Exons	15234022	Tag count	TARGET-10-PAPIYG-03B-01R
Introns	123241796	Tag count	TARGET-10-PAPIYG-03B-01R
TSS_up_1kb	283116	Tag count	TARGET-10-PAPIYG-03B-01R
TSS_up_5kb	898912	Tag count	TARGET-10-PAPIYG-03B-01R
TSS_up_10kb	1504044	Tag count	TARGET-10-PAPIYG-03B-01R
TES_down_1kb	637494	Tag count	TARGET-10-PAPIYG-03B-01R
TES_down_5kb	1963420	Tag count	TARGET-10-PAPIYG-03B-01R
TES_down_10kb	2798934	Tag count	TARGET-10-PAPIYG-03B-01R
CDS_Exons	67991331	Tag count	TARGET-10-PAPJXI-04A-01R
5'UTR_Exons	4510811	Tag count	TARGET-10-PAPJXI-04A-01R
3'UTR_Exons	35273500	Tag count	TARGET-10-PAPJXI-04A-01R
Introns	64148544	Tag count	TARGET-10-PAPJXI-04A-01R
TSS_up_1kb	301423	Tag count	TARGET-10-PAPJXI-04A-01R
TSS_up_5kb	1001332	Tag count	TARGET-10-PAPJXI-04A-01R
TSS_up_10kb	1690472	Tag count	TARGET-10-PAPJXI-04A-01R
TES_down_1kb	819497	Tag count	TARGET-10-PAPJXI-04A-01R
TES_down_5kb	2627425	Tag count	TARGET-10-PAPJXI-04A-01R
TES_down_10kb	3816995	Tag count	TARGET-10-PAPJXI-04A-01R
CDS_Exons	48706844	Tag count	TARGET-10-PAPKNJ-09B-01R
5'UTR_Exons	3837823	Tag count	TARGET-10-PAPKNJ-09B-01R
3'UTR_Exons	17901683	Tag count	TARGET-10-PAPKNJ-09B-01R
Introns	154004575	Tag count	TARGET-10-PAPKNJ-09B-01R
TSS_up_1kb	362458	Tag count	TARGET-10-PAPKNJ-09B-01R
TSS_up_5kb	1267280	Tag count	TARGET-10-PAPKNJ-09B-01R
TSS_up_10kb	2131699	Tag count	TARGET-10-PAPKNJ-09B-01R
TES_down_1kb	1021384	Tag count	TARGET-10-PAPKNJ-09B-01R
TES_down_5kb	3236411	Tag count	TARGET-10-PAPKNJ-09B-01R
TES_down_10kb	4457064	Tag count	TARGET-10-PAPKNJ-09B-01R
CDS_Exons	41250080	Tag count	TARGET-10-PAPRMM-09B-01R
5'UTR_Exons	3347532	Tag count	TARGET-10-PAPRMM-09B-01R
3'UTR_Exons	17559326	Tag count	TARGET-10-PAPRMM-09B-01R
Introns	139536419	Tag count	TARGET-10-PAPRMM-09B-01R
TSS_up_1kb	387668	Tag count	TARGET-10-PAPRMM-09B-01R
TSS_up_5kb	1371032	Tag count	TARGET-10-PAPRMM-09B-01R
TSS_up_10kb	2303557	Tag count	TARGET-10-PAPRMM-09B-01R
TES_down_1kb	802607	Tag count	TARGET-10-PAPRMM-09B-01R
